Pasta &amp; Oven Roasted Vegetables: ['12.50', '15.75', '29.75']
Meatball Parmigiana Sandwich: ['6.50', '10.50']
Antipasto Salad: ['16.75']
Garlic Bread sticks: ['4.95']
Green Onions: ['1.00', '1.20', '1.40', '1.50']
Calabria Pizza: ['12.75', '18.55', '23.95', '28.75']
Pasta With Marinara Sauce: ['9.50', '12.50', '21.95']
Gnocchi With Pesto: ['7.95']
Asanté Pizza: ['12.75', '18.55', '23.95', '28.75']
Broccoli: ['1.00', '1.20', '1.40', '1.50']
Jalapeños: ['1.00', '1.20', '1.40', '1.50']
Anchovies: ['1.00', '1.20', '1.40', '1.50']
Margherita Pizza: ['10.75', '16.15', '21.30', '25.75']
Veggie Pizza: ['11.75', '17.35', '22.70', '27.25']
Chilled Broccoli : ['7.95']
Bacon: ['1.00', '1.20', '1.40', '1.50']
Soda: ['1.25', '5.95']
Sliced Chicken Breast: ['2.00', '2.40', '2.80', '3.00']
Calistoga Spring Water: ['1.95']
Roasted Yukon Gold Potatoes: ['1.00', '1.20', '1.40', '1.50']
Pasta With Meat Sauce: ['11.50', '14.75', '26.75']
Pollo Pizza: ['12.75', '18.55', '23.95', '28.75']
Fresh Garlic: []
Honey-Cured Ham: ['1.00', '1.20', '1.40', '1.50']
Sun-Dried Tomatoes: ['2.00', '2.40', '2.80', '3.00']
Amici's Combo Pizza: ['12.75', '18.55', '23.95', '28.75']
Artichoke Panzella Salad: ['3416.75']
Beef Meatballs: ['1.00', '1.20', '1.40', '1.50']
Siciliano Pizza: ['11.75', '17.35', '22.70', '27.25']
Hearth-Baked Bread sticks: ['3.95']
Manhattan Red Clam Pizza: ['11.75', '17.35', '22.70', '27.25']
Spinach Salad: ['9.50']
Provolone Cheese: ['1.00', '1.20', '1.40', '1.50']
Green Olives: ['2.00', '2.40', '2.80', '3.00']
Martinelli's Apple Juice: ['2.95']
Pasta With Pesto &amp; Clams: ['13.95', '17.75', '31.75']
Black Olives: ['1.00', '1.20', '1.40', '1.50']
Extra Mozzarella Cheese: ['1.00', '1.20', '1.40', '1.50']
Sautéed Mushrooms: ['1.00', '1.20', '1.40', '1.50']
Baby Spinach: ['1.00', '1.20', '1.40', '1.50']
Pasta With Alfredo Sauce: ['11.50', '14.75', '26.75']
J.M. Rosen Tuxedo Cake: ['6.75']
Snapple: ['63.25']
Trentino Pizza: ['12.75', '18.55', '23.95', '28.75']
Cheese Ravioli With Pesto: ['12.50', '15.75', '29.75']
Pasta With Clam Sauce: ['12.50', '15.75', '29.75']
Greek Isle Pizza: ['12.75', '18.55', '23.95', '28.75']
Chicken Caesar Salad: ['16.75']
Clams &amp; Garlic: ['3.00', '3.60', '4.20', '4.50']
New York Pizza: ['8.75', '13.75', '18.50', '22.75']
J.M. Rosen's New York Cheesecake: ['6.75']
Tomatoes: ['1.00', '1.20', '1.40', '1.50']
Side Salad: ['4.75']
Minestrone Soup: ['3.75', '4.95']
Roasted Green Peppers: ['1.00', '1.20', '1.40', '1.50']
Side Spinach Salad: ['6.50']
Salami: ['1.00', '1.20', '1.40', '1.50']
Four Cheese Lasagna With Meat Sauce: ['13.45', '17.50', '31.75']
Double Garden Salad: ['14.75']
Pesto Sauce: ['3.00', '3.60', '4.20', '4.50']
Mild Italian Sausage: ['1.00', '1.20', '1.40', '1.50']
Artichoke Panzanella Salad: ['9.50']
Baked Pasta Parmigiana With Eggplant: ['13.50', '17.75', '31.75']
Cheese Ravioli With Marinara Sauce: ['11.50', '14.75', '26.75']
Crumbled Feta Cheese: ['1.00', '1.20', '1.40', '1.50']
Caramelized Onions: ['1.00', '1.20', '1.40', '1.50']
New Haven White Clam Pizza: ['12.75', '18.55', '23.95', '28.75']
Pancetta: ['2.00', '2.40', '2.80', '3.00']
Slow-Roasted Garlic: ['1.00', '1.20', '1.40', '1.50']
Daiya Vegan Cheese: []
Fried Eggplant: ['3.00', '3.60', '4.20', '4.50']
Eggplant Parmigiana Sandwich: ['6.95', '11.50']
Cranberry Juice: ['63.25']
Fresh Basil: ['1.00', '1.20', '1.40', '1.50']
Boston Pizza: ['11.75', '17.35', '22.70', '27.25']
Dressings: Mustard Italian, Caesar, Ranch, Lemon Basil Vinaigrette, Red Wine Vinaigrette, Fat-Free Sun-Dried Tomato: []
Artichoke Hearts: ['2.00', '2.40', '2.80', '3.00']
Garden Salad: ['7.75']
Caesar Salad: ['13.75']
Four Cheese Lasagna: ['11.50', '14.75', '26.75']
Philly Pizza: ['11.75', '17.35', '22.70', '27.25']
Gnocchi With Butter &amp; Parmesan: ['5.50']
Spicy Pepper Chicken Pizza: ['12.75', '18.55', '23.95', '28.75']
Pasta With Pesto: ['11.50', '14.75', '26.75']
Pepperoni: ['1.00', '1.20', '1.40', '1.50']
Pineapple: ['1.00', '1.20', '1.40', '1.50']
Hot Italian Sausage Sandwich: ['6.50', '10.50']
Roasted Red Peppers: ['2.00', '2.40', '2.80', '3.00']
Pamela's White Chocolate Raspberry Cheesecake: ['6.50']
Hot Italian Sausage: ['1.00', '1.20', '1.40', '1.50']
San Pellegrino Sparkling Mineral Water: ['.53.25', '4.75']
Milano Pizza: ['12.75', '18.55', '23.95', '28.75']
Pesto Pizza: ['11.75', '17.35', '22.70', '27.25']
